image_name,image_path,overall_max_score,overall_mean_score,high_confidence_features,medium_confidence_features,low_confidence_features,art_style_max_score,art_style_max_prompt,art_style_mean_score,art_style_std_score,medium_max_score,medium_max_prompt,medium_mean_score,medium_std_score,color_palette_max_score,color_palette_max_prompt,color_palette_mean_score,color_palette_std_score,subject_matter_max_score,subject_matter_max_prompt,subject_matter_mean_score,subject_matter_std_score,technique_max_score,technique_max_prompt,technique_mean_score,technique_std_score,emotional_tone_max_score,emotional_tone_max_prompt,emotional_tone_mean_score,emotional_tone_std_score
Ken_Thompson__computer_scientist.jpeg,informatici_cards/Ken_Thompson__computer_scientist.jpeg,0.2227303385734558,0.19215327610329883,0,0,41,0.2227303385734558,minimalist simple forms,0.20063737034797668,0.01769397035241127,0.19471728801727295,digital art clean lines,0.1778092384338379,0.011483483016490936,0.2083219438791275,muted neutral tones,0.1849062442779541,0.024069184437394142,0.21418732404708862,abstract shapes and forms,0.19843623042106628,0.010914782993495464,0.2161431610584259,smooth blended gradients,0.20364564657211304,0.011148887686431408,0.20523561537265778,mysterious and enigmatic,0.18720823526382446,0.010202355682849884
Ada_Lovelace__mathematician_programmer.jpeg,informatici_cards/Ada_Lovelace__mathematician_programmer.jpeg,0.26696884632110596,0.19649819121128176,0,0,41,0.26696884632110596,photorealistic detail,0.203732430934906,0.02733096480369568,0.22043278813362122,digital art clean lines,0.18310825526714325,0.019177347421646118,0.22642426192760468,monochromatic single color,0.20363150537014008,0.01296158879995346,0.2128361314535141,abstract shapes and forms,0.18698473274707794,0.015228967182338238,0.2402694821357727,flat graphic areas,0.20394086837768555,0.026935843750834465,0.20782123506069183,mysterious and enigmatic,0.19780831038951874,0.008480280637741089
Bill_Gates__software_engineer.jpeg,informatici_cards/Bill_Gates__software_engineer.jpeg,0.2039467841386795,0.17007401839988986,0,0,41,0.18300442397594452,photorealistic detail,0.17251983284950256,0.0056091719307005405,0.17158852517604828,acrylic bold colors,0.14736975729465485,0.014988083392381668,0.19156189262866974,complementary color contrast,0.1717519462108612,0.01272041816264391,0.2039467841386795,everyday life scene,0.1761290282011032,0.012934166006743908,0.19836921989917755,flat graphic areas,0.18005657196044922,0.015449167229235172,0.1870018094778061,chaotic and turbulent,0.17429691553115845,0.008120860904455185
Tim_Berners-Lee__computer_scientist.jpeg,informatici_cards/Tim_Berners-Lee__computer_scientist.jpeg,0.2227303385734558,0.19215327610329883,0,0,41,0.2227303385734558,minimalist simple forms,0.20063737034797668,0.01769397035241127,0.19471728801727295,digital art clean lines,0.1778092384338379,0.011483483016490936,0.2083219438791275,muted neutral tones,0.1849062442779541,0.024069184437394142,0.21418732404708862,abstract shapes and forms,0.19843623042106628,0.010914782993495464,0.2161431610584259,smooth blended gradients,0.20364564657211304,0.011148887686431408,0.20523561537265778,mysterious and enigmatic,0.18720823526382446,0.010202355682849884
Grace_Hopper__computer_scientist.jpeg,informatici_cards/Grace_Hopper__computer_scientist.jpeg,0.2227303385734558,0.19215327610329883,0,0,41,0.2227303385734558,minimalist simple forms,0.20063737034797668,0.01769397035241127,0.19471728801727295,digital art clean lines,0.1778092384338379,0.011483483016490936,0.2083219438791275,muted neutral tones,0.1849062442779541,0.024069184437394142,0.21418732404708862,abstract shapes and forms,0.19843623042106628,0.010914782993495464,0.2161431610584259,smooth blended gradients,0.20364564657211304,0.011148887686431408,0.20523561537265778,mysterious and enigmatic,0.18720823526382446,0.010202355682849884
John_von_Neumann__mathematician_computer_scientist.jpeg,informatici_cards/John_von_Neumann__mathematician_computer_scientist.jpeg,0.2193939983844757,0.1775026623068786,0,0,41,0.20142383873462677,realistic representational art,0.182084321975708,0.013738855719566345,0.18441535532474518,pencil or charcoal drawing,0.1630309522151947,0.01419558934867382,0.1904887855052948,complementary color contrast,0.1668323576450348,0.014973712153732777,0.21297788619995117,portrait or figure,0.18435396254062653,0.012325319461524487,0.2193939983844757,gestural spontaneous marks,0.19902779161930084,0.013827021233737469,0.18590401113033295,chaotic and turbulent,0.17120783030986786,0.013387801125645638
Alan_Turing__computer_scientist.jpeg,informatici_cards/Alan_Turing__computer_scientist.jpeg,0.21672986447811127,0.16941000521183014,0,0,41,0.21672986447811127,photorealistic detail,0.17329123616218567,0.019315261393785477,0.1879500448703766,digital art clean lines,0.15736564993858337,0.018871456384658813,0.21159309148788452,monochromatic single color,0.17714038491249084,0.01878669671714306,0.1866707056760788,mythological or fantasy,0.16015027463436127,0.01777481846511364,0.1900738775730133,fine detailed brushwork,0.1653469353914261,0.023898527026176453,0.1982366144657135,mysterious and enigmatic,0.1841340810060501,0.008840388618409634
James_Gosling__software_engineer.jpeg,informatici_cards/James_Gosling__software_engineer.jpeg,0.2176436334848404,0.18778770834934422,0,0,41,0.2176436334848404,minimalist simple forms,0.1861076056957245,0.018997710198163986,0.1933782994747162,pastel soft texture,0.16433389484882355,0.02019706554710865,0.2123005986213684,monochromatic single color,0.19392330944538116,0.013118511997163296,0.21405954658985138,everyday life scene,0.189139723777771,0.012399968691170216,0.21573534607887268,flat graphic areas,0.20073890686035156,0.015465309843420982,0.2150689661502838,mysterious and enigmatic,0.19570386409759521,0.00983166228979826
Edsger_Dijkstra__computer_scientist.jpeg,informatici_cards/Edsger_Dijkstra__computer_scientist.jpeg,0.2227303385734558,0.19215327610329883,0,0,41,0.2227303385734558,minimalist simple forms,0.20063737034797668,0.01769397035241127,0.19471728801727295,digital art clean lines,0.1778092384338379,0.011483483016490936,0.2083219438791275,muted neutral tones,0.1849062442779541,0.024069184437394142,0.21418732404708862,abstract shapes and forms,0.19843623042106628,0.010914782993495464,0.2161431610584259,smooth blended gradients,0.20364564657211304,0.011148887686431408,0.20523561537265778,mysterious and enigmatic,0.18720823526382446,0.010202355682849884
Margaret_Hamilton__software_engineer.jpeg,informatici_cards/Margaret_Hamilton__software_engineer.jpeg,0.20859187841415405,0.16883479531218365,0,0,41,0.20613592863082886,minimalist simple forms,0.16719403862953186,0.01973980851471424,0.17740437388420105,pastel soft texture,0.15156075358390808,0.0187406986951828,0.19507616758346558,muted neutral tones,0.1703944206237793,0.015845896676182747,0.19047339260578156,everyday life scene,0.17274357378482819,0.008471774868667126,0.20859187841415405,flat graphic areas,0.18085046112537384,0.019782017916440964,0.18414011597633362,mysterious and enigmatic,0.17278005182743073,0.005308844149112701
